meta_id,meta_desc
1,1
2,1st
3,3rd
4,5
5,55s
6,aacs
7,aat
8,aberchirder
9,aboot
10,aboyne
11,abusing
12,abusive
13,ac
14,academy
15,accesibility
16,accessiblility
17,accidental
18,achool
19,acid
20,acitivities
21,act
22,acting
23,action
24,active
25,acute
26,adaptions
27,addicts
28,adfm
29,adopt
30,ads
31,advertising
32,age
33,airman
34,alerts
35,allergic
36,allergies
37,allotments
38,alopecia
39,ambulances
40,amenity
41,amputate
42,amputation
43,amputations
44,amputee
45,amusement
46,an
47,anaesthetic
48,anaphylaxic
49,anaphylaxis
50,aneurism
51,anon
52,antigen
53,antisocial
54,anxieties
55,apnea
56,area
57,arena
58,argyle
59,arms
60,arrest
61,art
62,arterial
63,arteries
64,arthritic
65,as
66,asbestos
67,asian
68,assessment
69,assistants
70,assisted
71,associations
72,assualt
73,assurance
74,asthmatic
75,asylum
76,at
77,atheism
78,atheist
79,attack
80,aubin
81,austism
82,automobile
83,availability
84,avma
85,awards
86,b
87,bacteria
88,bacterial
89,balancing
90,ballindalloch
91,balls
92,balmedie
93,banding
94,bands
95,bank
96,baptists
97,bark
98,barrk
99,basi
100,basic
101,battered
102,bay
103,beaters
104,beating
105,bed
106,behavioral
107,beneficiaries
108,berghead
109,bifida
110,biker
111,bills
112,binging
113,biopsy
114,bird
115,births
116,bjhs
117,black
118,bleeding
119,blinded
120,blindness
121,blistering
122,blisters
123,blockages
124,boarding
125,boards
126,boat
127,boddam
128,boiler
129,borrowing
130,box
131,boyfriends
132,boys
133,bph
134,bracelet
135,braemar
136,braille
137,breakfast
138,breasts
139,breath
140,british
141,brothels
142,brownies
143,bs
144,bullies
145,burghead
146,burial
147,businesses
148,busses
149,byzantine
150,byzantium
151,cabs
152,calls
153,calsayseat
154,camp
155,campaigns
156,cancers
157,canine
158,cardiovascular
159,carehome
160,carr
161,carrgomm
162,carriage
163,catheter
164,catholics
165,cats
166,cbt
167,cccs
168,celebrations
169,celtic
170,cerebral
171,cerers
172,cessation
173,challenges
174,change
175,changing
176,charge
177,chemo
178,chemotherapy
179,chi
180,chidlren
181,chil
182,childhood
183,childre
184,childs
185,chlamydia
186,chores
187,chp
188,chromosomes
189,cinamon
190,circulation
191,citixens
192,citizensfinancial
193,claiming
194,claims
195,claw
196,climate
197,clot
198,clothes
199,coaches
200,codonas
201,cognitive
202,colleges
203,collision
204,colon
205,coloured
206,comlementary
207,commission
208,committees
209,communication
210,communications
211,companies
